WT 4A OFF ALYT4,1.0526315921561544
WT 4A OFF BEAU2,1.052631592156154
WT 4A OFF BEAU4,1.052631592156154
WT 4A OFF BLHI2,1.052631592156154
WT 4A OFF BLHI4,1.052631592156154
WT 4A OFF COCK4,1.0204081434053667
WT 4A OFF HAWP2,1.7241379806459598
WT 4A OFF HUNE4,1.0204081434053667
WT 4A OFF KINT2,1.0526315921561542
WT 4A OFF NGET4,1.7241379806459602
WT 4A OFF PEHE2,1.052631592156154
WT 4A OFF PEHE4,1.052631592156154
WT 4A OFF ROTI4,1.0526315921561542
WT 4A OFF STEW4,1.72413798064596
WT 4A OFF TEAL2,1.0526315921561542
WT 4A OFF TORN4,1.0204081434053665
WT 4A ON BEAU2,1.0526315921561542
WT 4A ON BLHI2,1.0526315921561544
WT 4A ON ELVA4,1.0204081434053667
WT 4A ON FAUG4,1.0526315921561542
WT 4A ON HARK4,1.7241379806459602
WT 4A ON HUNE4,1.0204081434053667
WT 4A ON NGET4,1.7241379806459602
WT 4A ON STHA4,1.020408143405367
WT 4A ON TEAL2,1.0526315921561544
WT 4A ON TORN4,1.0204081434053665
WT 4A ON WIYH2,1.0204081434053665
