Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
FERRB_M,Ferrybridge B,P6,P,32,-8.4,-8.4,0,0,14,0,179,0,0,N/A for summer
FETT_P,Fetteresso,T2,T,0,0.0,0.0,0,0,0,0,1,0,0,N/A for summer
FIDD_P,Fiddes,T2,T,25,-0.7,-0.8,1,27,46,0,1,0,0,N/A for summer
FIDF_1,Fiddlers Ferry,N1,N,96,-5.8,-26.1,5,83,1,0,111,0,0,N/A for summer
FINN,Finnieston,S5,S,18,0.3,-2.8,0,0,0,0,0,0,0,N/A for summer
FLEE_1,Fleet,B3,B,325,258.9,160.6,12,313,28,22,84,0,0,N/A for summer
FAUG_P,Fort Augustus,T1,T,9,-0.7,-1.4,0,5,0,20,0,0,0,N/A for summer
FWIL_P,Fort William,T1,T,47,14.6,13.0,0,18,0,31,1,0,0,N/A for summer
FOUR_1,Fourstones,Q8,Q,22,-10.2,-10.3,20,36,128,0,1,0,0,N/A for summer
FRAS_P,Fraserburgh,T2,T,7,4.4,2.3,1,5,2,0,0,0,0,N/A for summer
FROD_1,Frodsham,N3,N,134,9.7,-4.9,525,162,82,0,248,0,0,N/A for summer
GALA,Galashiels,S6,S,27,5.6,1.3,1,15,25,0,4,0,0,N/A for summer
GIFF,Giffnock,S6,S,18,-2.0,-8.6,0,5,6,0,2,0,0,N/A for summer
GLEF_P,Glenfarclas,T1,T,0,0.0,0.0,0,0,0,0,0,0,0,N/A for summer
GLLE,Glenlee,S6,S,0,0.0,0.0,0,1,0,55,0,0,0,N/A for summer
GLLU,Glenluce,S6,S,25,4.6,1.0,1,9,114,0,3,0,0,N/A for summer
GLNI,Glenniston,S5,S,4,5.1,3.8,0,14,49,0,0,0,0,N/A for summer
GLRO,Glenrothes,S5,S,14,4.6,-0.1,30,15,0,1,1,0,0,N/A for summer
GORG,Gorgie,S6,S,13,3.0,2.1,0,1,0,0,1,0,0,N/A for summer
GOVA,Govan,S6,S,15,3.7,1.7,0,5,0,0,1,0,0,N/A for summer
GREE_H,Greenford,A7,A,18,-1.7,-7.7,0,4,0,0,1,0,0,N/A for summer
GREN_1,Grendon,J6,J,248,-60.3,-70.5,65,837,151,0,196,0,0,N/A for summer
GRIW_1,Grimsby West,P7,P,122,-1.8,-8.3,80,140,39,0,174,0,0,N/A for summer
GRUB_P,Grudie Bridge,T1,T,13,0.1,0.1,0,12,1,34,1,0,0,N/A for summer
HACK_1,Hackney 132kV,A1,A,57,15.2,-5.4,1,26,0,0,5,0,0,N/A for summer
HACK_6,Hackney 66kV,A1,A,54,18.2,-4.6,0,6,0,0,5,0,0,N/A for summer
HAGR,Haggs Road,S6,S,13,1.3,-1.1,0,3,0,0,1,0,0,N/A for summer
HAMHC1,Hams Hall,L3,L,150,92.5,48.9,102,126,0,0,36,0,0,N/A for summer
HARK_1,Harker,Q8,Q,150,-18.6,-18.7,6,218,297,16,139,0,0,N/A for summer
HARM_6,Hart Moor,Q4,Q,33,-8.0,-16.7,32,45,64,0,87,0,0,N/A for summer
HAWI,Hawick,S6,S,15,3.1,-0.3,0,7,23,0,1,0,0,N/A for summer
HAWP_6,Hawthorn Pit,Q4,Q,34,-5.2,-12.4,3,71,29,0,6,0,0,N/A for summer
HELE,Helensburgh,S5,S,8,-0.9,-1.9,30,4,0,0,0,0,0,N/A for summer
HEYS_1,Heysham (NGET),R5,R,3,0.0,0.0,77,85,37,0,13,0,0,N/A for summer
HEYS1,Heysham (Barrow WF),R5,R,39,-38.9,-38.9,0,35,0,0,1,0,0,N/A for summer
HUER,Hunterston Farm,S6,S,1,0.0,-1.8,0,1,0,0,0,0,0,N/A for summer
HURS_1,Hurst,A8,A,96,-91.3,-132.0,2,30,0,0,10,0,0,N/A for summer
HUTT_1,Hutton,R6,R,13,-1.9,-18.2,3,154,4,6,7,0,0,N/A for summer
IMPK_1,Imperial Park,H6,H,11,11.9,3.5,0,140,0,0,0,0,0,N/A for summer
INDQ1,Indian Queens,F6,F,185,31.7,17.0,45,830,132,1,108,0,0,N/A for summer
INKE,Inverkeithing,S5,S,17,-0.2,-2.2,1,17,2,0,0,0,0,N/A for summer
INNE_P,Inverness,T1,T,38,-1.2,-5.0,1,14,1,10,2,0,0,N/A for summer
IROA1,Iron Acton,G5,G,232,-38.4,-80.0,261,515,21,0,94,0,0,N/A for summer
IRONB1,Ironbridge,L5,L,76,-7.9,-12.4,3,179,1,0,96,0,0,N/A for summer
ISLI_1,Islington,A7,A,153,43.1,43.1,0,0,0,0,3,0,0,N/A for summer
IVER_1,Iver 132kV,A6,A,145,34.6,-37.8,9,46,0,0,17,0,0,N/A for summer
IVER_6,Iver 66kV,A6,A,72,3.3,-21.7,1,16,7,0,52,0,0,N/A for summer
JOHN,Johnstone,S6,S,16,1.3,0.3,0,7,2,0,5,0,0,N/A for summer
JORD_3,Jordanthorpe,P3,P,14,-4.8,-7.3,1,17,0,0,2,0,0,N/A for summer
KAIM,Kaimes,S6,S,42,3.8,-3.6,2,35,44,0,6,0,0,N/A for summer
KEAD_1,Keadby,P8,P,180,18.2,-25.2,59,299,189,0,228,0,0,N/A for summer
KEAR_1,Kearsley 132kV,N4,N,177,115.9,-30.6,41,115,1,0,93,0,0,N/A for summer
KEAR_3,Kearsley 33kV,N4,N,40,8.3,-8.8,0,22,0,0,28,0,0,N/A for summer
KEIT_P,Keith,T1,T,23,0.0,-0.1,11,34,51,3,8,0,0,N/A for summer
KEMS_1,Kemsley,C3,C,46,15.4,-14.2,2,222,34,0,23,0,0,N/A for summer
KEOO,Kendoon,S6,S,0,0.0,0.0,0,1,0,59,0,0,0,N/A for summer
KIER,Killermont,S5,S,23,10.2,2.5,0,15,0,0,7,0,0,N/A for summer
KIIN_P,Killin,T4,T,2,10.3,8.0,0,7,0,10,6,0,0,N/A for summer
KILS,Kilmarnock South,S6,S,15,4.8,2.4,0,8,22,0,3,0,0,N/A for summer
KILT,Kilmarnock Town,S6,S,25,5.3,0.8,1,9,14,0,10,0,0,N/A for summer
KILW,Kilwinning,S6,S,4,-1.7,-8.2,40,8,14,0,23,0,0,N/A for summer
KINO_1,Kingsnorth,C2,C,62,-55.7,-84.9,51,93,0,0,19,0,0,N/A for summer
KINL_P,Kinlochleven,T1,T,0,16.6,14.2,0,0,0,2,0,0,0,N/A for summer
KINT_P,Kintore,T2,T,2,12.0,11.4,2,50,9,0,1,0,0,N/A for summer
KIBY_1,Kirkby (_D),N1,N,68,-22.7,-47.0,5,38,1,0,8,0,0,N/A for summer
KIBY_G,Kirkby (_G),N1,N,18,-5.4,-11.2,2,33,0,0,3,0,0,N/A for summer
KIRKB1,Kirkstall B,P1,P,87,37.4,-26.1,2,36,4,0,21,0,0,N/A for summer
KITW_1,Kitwell,L2,L,121,124.4,-99.5,3,53,0,0,10,0,0,N/A for summer
KNAR,Knaresborough,P2,P,57,74.8,74.8,7,108,22,0,76,0,0,N/A for summer
LACK_6,Lackenby,Q2,Q,95,20.9,-29.9,8,80,71,0,37,0,0,N/A for summer
LAIR_P,Lairg,T5,T,9,-0.1,-2.5,0,7,8,6,0,0,0,N/A for summer
LALE1SG003,Laleham,A6,A,125,-5.7,-68.2,1,23,0,0,27,0,0,N/A for summer
LAND1,Landulph,F6,F,90,-17.3,-28.5,32,412,9,6,171,0,0,N/A for summer
LEGA_1,Legacy,M4,M,133,9.1,-3.2,7,250,186,2,48,0,0,N/A for summer
LEVE,Leven,S5,S,18,22.6,21.1,1,17,21,0,20,0,0,N/A for summer
LINM,Linnmill,S6,S,53,2.4,-7.0,21,20,86,26,6,0,0,N/A for summer
LISD_1,Lister Drive,N1,N,136,-55.1,-95.7,44,65,25,0,59,0,0,N/A for summer
LITT_C,Littlebrook (_C),A8,A,44,0.5,-17.7,9,25,1,0,14,0,0,N/A for summer
LITT_J,Littlebrook (_J),A8,A,5,-0.3,-1.1,0,7,0,0,2,0,0,N/A for summer
LING,Livingston East,S6,S,58,20.3,8.3,1,13,85,0,5,0,0,N/A for summer
LODR_6,Lodge Road,A7,A,114,61.5,-55.6,0,10,0,0,3,0,0,N/A for summer
LOUD_H,Loudwater,A6,A,15,4.1,-3.2,1,15,0,0,2,0,0,N/A for summer
LOVE_1,Lovedean,B2,B,214,-100.0,-172.4,11,536,23,0,79,0,0,N/A for summer
LUNA_P,Lunanhead,T4,T,12,1.0,-0.6,11,46,6,2,7,0,0,N/A for summer
LYND_P,Lyndhurst,T4,T,8,-0.9,-1.5,0,3,2,0,1,0,0,N/A for summer
MACC_3,Macclesfield,N6,N,25,-3.4,-3.4,20,39,0,0,62,0,0,N/A for summer
MACD_P,Macduff,T1,T,0,0.0,-0.4,1,29,59,0,1,0,0,N/A for summer
MANN_1,Mannington,E1,E,242,-63.1,-90.2,184,879,7,0,104,0,0,N/A for summer
MAGA_6,Margam,H1,H,51,41.2,40.3,19,27,153,0,2,0,0,N/A for summer
MAYB,Maybole,S6,S,34,5.6,1.6,0,6,2,1,20,0,0,N/A for summer
MELK_1,Melksham,G6,G,171,-11.1,-34.8,215,1034,17,0,225,0,0,N/A for summer
MILH_1,Mill Hill,A6,A,73,-45.1,-79.7,1,17,0,1,7,0,0,N/A for summer
MILC_P,Milton of Craigie,T4,T,18,-2.0,-2.1,1,17,8,1,15,0,0,N/A for summer
MITY_1,Minety,G6,G,126,-18.9,-37.4,232,773,16,6,28,0,0,N/A for summer
MYBS_P,Mybster,T5,T,12,-0.9,-1.7,0,14,31,0,1,0,0,N/A for summer
NAIR_P,Nairn,T1,T,14,6.6,3.3,1,10,3,0,2,0,0,N/A for summer
NECE_1,Nechells,L3,L,137,71.2,-27.9,5,95,0,0,92,0,0,N/A for summer
NEEP_3,Neepsend,P3,P,27,1.7,-2.8,1,23,0,0,8,0,0,N/A for summer
NEWX_6,New Cross,A4,A,147,84.7,-4.8,2,34,0,0,46,0,0,N/A for summer
NEAR,Newarthill,S6,S,29,2.0,-1.1,0,5,5,0,13,0,0,N/A for summer
NETS,Newton Stewart,S6,S,7,0.2,-0.9,0,1,0,0,1,0,0,N/A for summer
NINF_1,Ninfield,B1,B,147,21.6,-38.3,109,293,102,0,38,0,0,N/A for summer
NHYD_6,North Hyde,A6,A,72,36.3,-0.3,2,25,0,0,3,0,0,N/A for summer
NFLE,Northfleet East,C2,C,158,13.1,-63.1,106,235,0,0,47,0,0,N/A for summer
NORT_1,Norton,Q4,Q,166,-5.1,-68.5,108,228,45,1,120,0,0,N/A for summer
NORL_3,Norton Lees,P3,P,17,-3.2,-6.3,0,14,0,0,1,0,0,N/A for summer
NORM_1,Norwich Main,J3,J,10,-5.1,-27.2,24,941,103,0,38,0,0,N/A for summer
NURS_1,Nursling,B2,B,140,16.4,-26.4,135,311,0,9,67,0,0,N/A for summer
OCKH_1,Ocker Hill,L2,L,39,14.2,-3.5,1,30,0,0,16,0,0,N/A for summer
OFFE_3,Offerton,Q4,Q,20,0.2,-4.5,1,18,0,0,5,0,0,N/A for summer
OLDB_1,Oldbury,L2,L,39,5.0,-20.6,2,37,0,0,50,0,0,N/A for summer
ORMO,Ormonde,R5,R,90,0.0,0.0,0,0,0,0,1,0,0,N/A for summer
ORRI_P,Orrin,T1,T,0,0.0,0.0,0,0,1,0,0,0,0,N/A for summer
OSBA_1,Osbaldwick,P6,P,109,-48.6,-51.0,65,142,5,9,38,0,0,N/A for summer
PADIB1,Padiham,N5,N,103,-24.2,-24.2,3,75,41,0,27,0,0,N/A for summer
PAIS,Paisley,S6,S,14,-1.2,-4.8,0,1,0,0,1,0,0,N/A for summer
PART,Partick,S5,S,15,-0.5,-2.2,0,1,0,0,1,0,0,N/A for summer
PELH_1,Pelham,D5,D,78,-16.9,-29.4,86,367,1,0,33,0,0,N/A for summer
PEMB_1,Pembroke,H6,H,80,38.4,-10.3,4,473,23,1,18,0,0,N/A for summer
PENN_1,Penn,L1,L,84,32.7,-27.7,1,11,0,0,69,0,0,N/A for summer
PENT_1,Pentir,M6,M,35,-9.5,-9.5,3,196,68,6,6,0,0,N/A for summer
PENE_1,Penwortham East,R4,R,126,-30.2,-32.4,156,93,46,0,208,0,0,N/A for summer
PENW_1,Penwortham West,R4,R,34,-25.8,-25.9,63,127,13,0,122,0,0,N/A for summer
PERI_H,Perivale,A7,A,17,-1.7,-7.4,0,4,0,0,1,0,0,N/A for summer
PERS_P,Persley,T2,T,16,-1.4,-4.4,0,12,2,0,5,0,0,N/A for summer
PEHG_P,Peterhead Grange,T2,T,16,-1.5,-2.9,2,0,0,0,0,0,0,N/A for summer
PEHS_P,Peterhead Shell,T2,T,4,-0.2,-0.3,2,22,17,0,2,0,0,N/A for summer
PITS_3,Pitsmoor,P3,P,22,7.5,3.5,1,19,0,0,1,0,0,N/A for summer
POPP_3,Poppleton,P2,P,16,-3.4,-3.4,1,30,5,0,4,0,0,N/A for summer
PORA_P,Port Ann,T3,T,3,3.8,3.0,0,20,23,15,2,0,0,N/A for summer
PORD,Port Dundas,S5,S,14,3.5,0.3,0,13,0,0,5,0,0,N/A for summer
POOB,Portobello,S6,S,30,11.6,6.6,1,9,9,0,28,0,0,N/A for summer
PYLE_1,Pyle,H1,H,78,23.8,21.6,2,100,73,0,48,0,0,N/A for summer
QUOI_P,Quoich,T1,T,0,0.3,0.3,0,2,0,0,0,0,0,N/A for summer
RAIN_1,Rainhill,N1,N,174,-31.3,-86.8,3,53,2,0,72,0,0,N/A for summer
RANN_P,Rannoch,T4,T,0,7.2,6.2,0,8,0,20,1,0,0,N/A for summer
RASS_1,Rassau,H6,H,67,20.5,-15.0,5,312,32,10,132,0,0,N/A for summer
RATS_1,Ratcliffe,L7,L,189,-52.8,-85.0,30,237,17,0,112,0,0,N/A for summer
RAVE,Ravenscraig,S6,S,13,-3.8,-4.5,0,0,0,0,20,0,0,N/A for summer
RAYL_1,Rayleigh,C5,C,138,-0.7,-100.6,158,329,91,0,43,0,0,N/A for summer
REBR_3,Redbridge,A1,A,44,20.8,-8.6,1,17,0,0,3,0,0,N/A for summer
REDH,Redhouse,S5,S,14,5.7,2.9,0,56,34,0,6,0,0,N/A for summer
REDM_P,Redmoss,T2,T,51,5.7,3.0,0,11,21,0,4,0,0,N/A for summer
RICH_J,Richborough,C7,C,19,1.8,-5.4,3,195,0,0,8,0,0,N/A for summer
RRIG,Robin Rigg,Q8,Q,86,0.4,0.1,0,0,0,0,6,0,0,N/A for summer
ROCH_1,Rochdale,N4,N,29,10.8,-5.8,174,61,170,0,14,0,0,N/A for summer
RUGEB1,Rugeley,L5,L,68,-6.2,-39.0,2,103,3,0,3,0,0,N/A for summer
RYEH_1,Rye House,A9,A,171,99.7,-5.7,4,108,0,0,32,0,0,N/A for summer
