Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
ABNE_P,Abernethy,T4,T,42.44,2.0,0.6,1,74,26,2,3,0,0,-2.18
ABTH_1,Aberthaw,H2,H,211,17.4,-22.5,2,167,1,0,70,0,0,-10.15
ABHA1,Abham,F6,F,302,14.2,-6.6,32,478,1,2,88,0,0,-13.60
ACTL_C,Acton Lane 22kV,A7,A,42,1.7,-0.7,0,4,0,0,2,0,0,-2.03
ACTL_2,Acton Lane 66kV,A7,A,26,-0.1,-0.6,1,14,0,0,1,0,0,-1.43
ALNE_P,Alness,T5,T,30,0.4,-0.4,0,14,32,7,5,0,0,-1.84
ALST_3,Alpha Steel (Uskmouth),H2,H,14,2.5,2.2,0,8,0,0,4,0,0,-0.06
ALVE1,Alverdiscott,F6,F,256,38.0,19.6,14,611,227,2,30,0,0,-12.56
AMEM_1,Amersham Main,A6,A,105,15.4,5.0,153,38,0,0,3,0,0,-3.59
ARBR_P,Arbroath,T4,T,36,1.9,1.2,1,87,7,0,3,0,0,-2.00
ARDK_P,Ardkinglas,T3,T,0,0.0,0.0,0,3,0,5,0,0,0,0.00
ARMO_P,Ardmore,T1,T,34,5.3,1.5,1,21,45,0,1,0,0,-1.69
AXMI1,Axminster,E1,E,192,25.4,8.9,56,432,0,0,11,0,0,-9.09
AYRR,Ayr,S6,S,51,4.4,0.8,0,4,0,0,0,0,0,-2.88
BAIN,Bainsford,S5,S,22,4.3,1.1,0,12,4,0,1,0,0,-0.98
BARKC1,Barking,A1,A,121,47.0,9.7,2,43,0,0,84,0,0,-6.09
BARKW3,Barking West,A1,A,230,41.1,11.7,0,6,0,0,34,0,0,-12.61
BAGA,Bathgate,S5,S,44,12.1,5.9,1,20,74,0,2,0,0,-2.19
BEAU_P,Beauly,T1,T,29,4.5,2.8,1,10,3,6,0,0,0,-1.72
BEDDT1,Beddington (_C),A8,A,168,45.5,10.5,1,17,0,0,4,0,0,-6.03
BEDD_1,Beddington (_J),A8,A,499,108.0,-6.7,3,50,0,1,55,0,0,-22.21
BESW_1,Berkswell,L3,L,354,-16.3,-48.9,4,142,0,0,30,0,0,-18.24
BERB_P,Berryburn,T1,T,0,0.0,0.0,0,0,0,0,0,0,0,0.00
BERW,Berwick,S6,S,40,7.8,0.6,1,15,145,0,1,0,0,-2.78
BICF_1,Bicker Fen,K4,K,163,22.2,7.7,10,518,212,0,20,0,0,-7.68
BIRK_1,Birkenhead,N3,N,243,-15.8,-60.8,2,39,0,0,26,0,0,-11.54
BISW_1,Bishops Wood,L2,L,565,52.9,18.6,125,343,50,0,386,0,0,-27.10
BLYTB1,Blyth 66kV,Q6,Q,463,-6.3,-5.5,4,89,119,0,33,0,0,-25.37
BLYTH132,Blyth 132kV,Q6,Q,69,-0.5,-0.5,1,81,151,0,3,0,0,-3.32
BOAG_P,Boat of Garten,T1,T,25,-0.2,-0.9,0,9,0,11,1,0,0,-1.51
BOLN_1,Bolney,B1,B,918,142.2,-52.9,148,260,0,0,82,0,0,-46.51
BONN,Bonnybridge,S5,S,71,7.9,1.9,21,19,20,1,5,0,0,-3.29
BOTW_1,Botley Wood,B2,B,167,45.5,11.7,63,206,0,0,5,0,0,-8.10
BRAC_P,Braco West,T4,T,33,4.7,3.0,1,18,1,5,2,0,0,-1.64
BRAW_1,Bradford West,P1,P,444,53.9,-69.4,40,90,31,1,64,0,0,-22.77
BRAP,Braehead Park,S6,S,34,4.5,3.5,0,5,0,0,0,0,0,-1.87
BRAI_1,Braintree,J8,J,246,-6.8,-10.4,14,134,0,0,15,0,0,-11.85
BRFO_1,Bramford,J5,J,779,47.8,-57.2,192,694,74,0,218,0,0,-41.75
BRLE_1,Bramley,B4,B,605,-19.4,-69.6,26,262,1,0,93,0,0,-33.38
BRED_1,Bredbury,N2,N,316,64.1,-34.9,73,63,0,0,89,0,0,-15.54
BRID_P,Bridge of Dun,T4,T,31,9.6,8.4,1,13,12,0,3,0,0,-1.67
BRWA1,Bridgewater,E7,E,229,15.2,8.0,19,546,3,0,35,0,0,-10.68
BRIM_1,Brimsdown,A3,A,325,46.7,-22.6,2,85,0,0,16,0,0,-16.77
BROA_P,Broadford,T1,T,16,0.5,0.1,0,4,15,3,0,0,0,-0.97
BROR_P,Brora,T5,T,8,0.4,0.2,0,2,0,0,0,0,0,-0.48
BROX,Broxburn,S6,S,61,9.9,7.0,0,7,0,0,3,0,0,-2.99
BUMU_P,Burghmuir,T4,T,49,1.7,-0.1,1,13,0,1,0,0,0,-2.58
BURM_1,Burwell Main,J7,J,337,39.9,16.1,63,977,44,0,18,0,0,-17.27
BUSH_1,Bushbury,L2,L,188,11.1,-4.1,3,91,7,0,38,0,0,-8.59
BUST_1,Bustleholme,L3,L,297,92.0,-78.5,2,64,0,0,17,0,0,-12.16
CAIF_P,Cairnford,T2,T,0,0.0,0.0,0,0,0,0,0,0,0,0.00
CAMB_01,Camblesforth,P4,P,38,-11.0,-11.8,35,23,124,0,19,0,0,-1.93
CBNK_H,Canal Bank,A7,A,31,-0.1,-0.7,0,4,0,0,1,0,0,-1.61
CANTN1,Canterbury,C7,C,214,36.1,8.4,4,256,151,0,69,0,0,-11.70
CAPEA1,Capenhurst,N3,N,324,53.5,3.2,21,49,0,0,23,0,0,-19.09
CARE_1,Cardiff East,H2,H,140,16.2,-15.4,52,64,4,0,65,0,0,-7.65
CATY,Carntyne,S6,S,24,2.7,1.0,0,2,0,0,2,0,0,-1.16
CAAD_P,Carradale,T3,T,21,2.6,0.8,0,5,11,1,2,0,0,-1.20
