Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
ABNE_P,Abernethy,T4,T,10.547,-0.935,-2.521287292,0.053,20.517,18.818,1.559,3.04,0,0,N/A for summer
ABTH_1,Aberthaw,H2,H,61.686,-35.22,-47.11721842,0.119,97.124,0.541,0,72.848,0,0,N/A for summer
ABHA1,Abham,F6,F,84.783,-20.133,-32.82704595,0.594,184.848,0.982,1.917,127.189,0,0,N/A for summer
ACTL_C,Acton Lane 22kV,A7,A,10.61,-0.007,-5.768915546,0,0,0,0,0,0,0,N/A for summer
ACTL_2,Acton Lane 66kV,A7,A,7.482,-1.066,-3.941512894,0.031,3.882,0,0.279,0.346,0,0,N/A for summer
ALNE_P,Alness,T5,T,37.36,3.635,2.771928213,0.02,2.418,22.677,6.368,7.118,0,0,N/A for summer
ALST_3,Alpha Steel (Uskmouth),H2,H,0.94,-0.265,-0.447229944,0,0,0,0,0,0,0,N/A for summer
ALVE1,Alverdiscott,F6,F,82.488,10.206,6.936778124,5.862,281.435,167.975,2.485,3.92,0,0,N/A for summer
AMEM_1,Amersham Main,A6,A,17.931,5.002,-4.931258018,13.357,16.992,0.006,0,7,0,0,N/A for summer
ARBR_P,Arbroath,T4,T,8.53,-1.133,-2.000148171,0.052,26.407,4.757,0,2.335,0,0,N/A for summer
ARDK_P,Ardkinglas,T3,T,0.254,0,0,0,0,0,4.94,0,0,0,N/A for summer
ARMO_P,Ardmore,T1,T,8.095,11.11,6.842241654,0.313,1.633,33.648,0.139,0.35,0,0,N/A for summer
AXMI1,Axminster,E1,E,55.063,7.326,-0.295618635,0.335,150.54,0.268,0.048,9.137,0,0,N/A for summer
AYRR,Ayr,S6,S,17.52,1.487,-2.549254412,0.013,1.566,0.012,0,0.001,0,0,N/A for summer
BAIN,Bainsford,S5,S,10.082,1.644,-1.956592049,0.01,1.264,3.884,0,4,0,0,N/A for summer
BARKC1,Barking,A1,A,16.293,46.442,5.329078915,0.114,15.509,0,0,74.47,0,0,N/A for summer
BARKW3,Barking West,A1,A,76.225,57.475,7.691344486,0,0,0,0,57.2,0,0,N/A for summer
BAGA,Bathgate,S5,S,30.145,8.023,1.014315807,0.035,4.308,52.585,0,0,0,0,N/A for summer
BEAU_P,Beauly,T1,T,11.739,0.766,-1.148496734,0.032,3.912,2.478,5.871,0,0,0,N/A for summer
BEDDT1,Beddington (_C),A8,A,26.489,-0.609,-13.46673736,0.033,4.075,0,0,0,0,0,N/A for summer
BEDD_1,Beddington (_J),A8,A,142.064,-9.084,-71.06828512,0.14,17.358,0,0.837,104.021,0,0,N/A for summer
BESW_1,Berkswell,L3,L,97.619,-49.478,-83.35686034,0.191,61.209,0.045,0.017,18.351,0,0,N/A for summer
BERB_P,Berryburn,T1,T,0,0,0,0,0,0,0,0,0,0,N/A for summer
BERW,Berwick,S6,S,40.822,12.302,4.159450394,0.044,5.433,102.929,0,0.378,0,0,N/A for summer
BICF_1,Bicker Fen,K4,K,100.517,39.165,33.86453777,7.182,113.137,195.547,0,8.046,0,0,N/A for summer
BIRK_1,Birkenhead,N3,N,15.797,-73.026,-76.53075357,0.095,12.839,0.081,0,55.296,0,0,N/A for summer
BISW_1,Bishops Wood,L2,L,170.275,34.548,-51.00731174,40.845,149.732,35.322,0.315,141.081,0,0,N/A for summer
BLYTB1,Blyth 66kV,Q6,Q,217.182,-9.319,-9.238803588,0.21,26.025,94.758,0,43.387,0,0,N/A for summer
BLYTH132,Blyth 132kV,Q6,Q,9.806,-0.43,-0.41642534,0.06,33.676,106.956,0.035,0,0,0,N/A for summer
BOAG_P,Boat of Garten,T1,T,19.463,-2.825,-3.58684768,0.021,2.658,0.034,9.96,0.133,0,0,N/A for summer
BOLN_1,Bolney,B1,B,265.476,9.206,-158.0135182,44.557,111.528,0.261,0,66.404,0,0,N/A for summer
