Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
ABNE_P,Abernethy,T4,T,212.99,153.6,152.0,1,74,26,2,3,0,0.829,N/A for summer
ABTH_1,Aberthaw,H2,H,145,-26.7,-37.3,2,167,1,0,70,0,1.878,N/A for summer
ABHA1,Abham,F6,F,348,-5.1,-16.3,32,478,1,2,88,7.021,9.375,N/A for summer
ACTL_C,Acton Lane 22kV,A7,A,25,1.6,-3.5,0,4,0,0,2,0,0,N/A for summer
ACTL_2,Acton Lane 66kV,A7,A,18,-0.4,-2.9,1,14,0,0,1,0,0.494,N/A for summer
ALNE_P,Alness,T5,T,155,85.7,84.8,0,14,32,7,5,0,0.308,N/A for summer
ALST_3,Alpha Steel (Uskmouth),H2,H,15,0.0,-0.2,0,8,0,0,4,0,0,N/A for summer
ALVE1,Alverdiscott,F6,F,265,15.0,12.1,14,611,227,2,30,1.316,8.081,N/A for summer
AMEM_1,Amersham Main,A6,A,61,4.4,-4.4,153,38,0,0,3,53.462,0.904,N/A for summer
ARBR_P,Arbroath,T4,T,15,4.6,3.7,1,87,7,0,3,0,0.817,N/A for summer
ARDK_P,Ardkinglas,T3,T,105,0.0,0.0,0,3,0,5,0,0,0,N/A for summer
ARMO_P,Ardmore,T1,T,97,14.4,10.1,1,21,45,0,1,0.106,0.208,N/A for summer
AXMI1,Axminster,E1,E,162,27.6,20.9,56,432,0,0,11,17.566,4.648,N/A for summer
AYRR,Ayr,S6,S,55,-0.8,-4.8,0,4,0,0,0,0,0.199,N/A for summer
BAIN,Bainsford,S5,S,90,-0.1,-3.7,0,12,4,0,1,0,0.161,N/A for summer
BARKC1,Barking,A1,A,108,77.7,41.2,2,43,0,0,84,0,1.801,N/A for summer
BARKW3,Barking West,A1,A,126,65.4,21.1,0,6,0,0,34,0,0,N/A for summer
BAGA,Bathgate,S5,S,86,9.2,2.3,1,20,74,0,2,0,0.548,N/A for summer
BEAU_P,Beauly,T1,T,20,0.8,-1.1,1,10,3,6,0,0,0.498,N/A for summer
BEDDT1,Beddington (_C),A8,A,70,0.3,-11.1,1,17,0,0,4,0,0.519,N/A for summer
BEDD_1,Beddington (_J),A8,A,279,8.7,-46.4,3,50,0,1,55,0,2.209,N/A for summer
BESW_1,Berkswell,L3,L,242,-31.7,-61.9,4,142,0,0,30,0,3.019,N/A for summer
BERB_P,Berryburn,T1,T,0,0.0,0.0,0,0,0,0,0,0,0,N/A for summer
BERW,Berwick,S6,S,115,8.6,0.5,1,15,145,0,1,0,0.691,N/A for summer
BICF_1,Bicker Fen,K4,K,256,45.0,40.3,10,518,212,0,20,2.334,2.87,N/A for summer
BIRK_1,Birkenhead,N3,N,112,-51.5,-54.7,2,39,0,0,26,0,1.497,N/A for summer
BISW_1,Bishops Wood,L2,L,365,58.7,-17.4,125,343,50,0,386,37.643,13.328,N/A for summer
BLYTB1,Blyth 66kV,Q6,Q,285,-3.8,-3.8,4,89,119,0,33,0,3.312,N/A for summer
BLYTH132,Blyth 132kV,Q6,Q,31,-0.2,-0.2,1,81,151,0,3,0,0.948,N/A for summer
BOAG_P,Boat of Garten,T1,T,36,-8.4,-9.2,0,9,0,11,1,0,0.338,N/A for summer
BOLN_1,Bolney,B1,B,559,49.0,-99.7,148,260,0,0,82,47.81,8.792,N/A for summer
BONN,Bonnybridge,S5,S,22,13.4,6.8,21,19,20,1,5,6.985,0.501,N/A for summer
BOTW_1,Botley Wood,B2,B,176,33.5,14.5,63,206,0,0,5,21.062,2.123,N/A for summer
BRAC_P,Braco West,T4,T,24,2.6,0.7,1,18,1,5,2,0,0.854,N/A for summer
BRAW_1,Bradford West,P1,P,268,68.1,-87.1,40,90,31,1,64,12.286,3.878,N/A for summer
BRAP,Braehead Park,S6,S,29,0.0,-1.1,0,5,0,0,0,0,0.251,N/A for summer
BRAI_1,Braintree,J8,J,175,-28.9,-33.9,14,134,0,0,15,3.51,3.213,N/A for summer
BRFO_1,Bramford,J5,J,422,-25.9,-39.6,192,694,74,0,218,59.675,16.755,N/A for summer
BRLE_1,Bramley,B4,B,350,25.3,-69.5,26,262,1,0,93,7.372,3.917,N/A for summer
BRED_1,Bredbury,N2,N,180,128.4,-34.6,73,63,0,0,89,24.572,2.556,N/A for summer
BRID_P,Bridge of Dun,T4,T,22,8.6,7.3,1,13,12,0,3,0,0.643,N/A for summer
BRWA1,Bridgewater,E7,E,285,-8.7,-8.7,19,546,3,0,35,3.335,7.194,N/A for summer
BRIM_1,Brimsdown,A3,A,199,26.1,-43.9,2,85,0,0,16,0,1.58,N/A for summer
