Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
CANTN1,Canterbury,C7,C,214.525,37.305,9.595309999,0.177,120.03,139.58,0.004,126.892,0,0,-4.755
CAPEA1,Capenhurst,N3,N,338.265,57.71,7.324948423,20.111,18.236,0.006,0,140.405,0,0,-7.758
CARE_1,Cardiff East,H2,H,134.197,16.495,-15.09224813,0.116,28.126,2.739,0,57.194,0,0,-3.11
CATY,Carntyne,S6,S,20.367,2.374,0.608193362,0.002,0.243,0,0,1.6,0,0,-0.473
CAAD_P,Carradale,T3,T,18.964,2.593,0.80650147,0.012,1.432,7.693,1.47,0,0,0,-0.488
CARR_1,Carrington,N2,N,328.771,24.785,14.71750168,0.08,11.427,0,0.792,111.281,0,0,-6.796
CAFA,Carsfad,S6,S,0,0.009,-0.000209502,0,0,0,0,0,0,0,0
CASS_P,Cassley,T5,T,1.386,-0.154,-0.381304147,0,0,0,4.323,0,0,0,-0.041
CEAN_P,Ceannacroc,T1,T,1.383,0.72,0.72,0,0,0,1.9,0,0,0,-0.033
CELL_1,Cellarhead,L5,L,621.966,72.276,8.917155248,33.17,86.751,3.425,0.022,42.777,0,0,-12.647
CHAP,Chapelcross,S6,S,43.671,8.519,-0.867565223,0.04,5.003,26.806,0.628,1.504,0,0,-1.174
CHAR_P,Charleston,T4,T,20.864,0.865,0.377521544,0,0,5.345,1.43,9.5,0,0,-0.396
CHAS,Charlotte Street,S6,S,58.882,4.022,1.511449355,0.009,1.096,0,0,0,0,0,-1.903
CHSI_1,Chessington,A8,A,229.99,71.321,-0.422760176,0.091,18.989,0,0,30.182,0,0,-4.527
CHTE_1,Chesterfield,P3,P,506.552,14.518,-8.537704739,39.716,244.571,30.95,0.006,179.325,0,0,-11.155
CHIC_1,Chickerell,E1,E,91.719,14.12,5.541104169,0.121,44.356,0.676,0.042,2.437,0,0,-2.213
CITR_1,City Road,A7,A,673.375,102.057,3.858622292,0.008,0.966,0,0,31.2,0,0,-20.585
CLAC_P,Clachan,T3,T,3.676,1.95,1.95,0.002,0.232,0,14.05,0,0,0,-0.091
CLT03,Clacton,J5,J,71.158,11.206,-4.725129875,0,0,0,0,0,0,0,-1.556
CLAY_P,Clayhills,T2,T,26.574,3.485,1.630895005,0.01,1.2,0.006,0,3.041,0,0,-0.85
CLYM,Clyde’s Mill,S6,S,65.102,9.364,1.718845308,0,0,0,0,11.2,0,0,-1.638
COAT,Coatbridge,S6,S,56.603,5.298,1.937041897,0.034,4.241,2.59,0,0,0,0,-1.407
COCK,Cockenzie,S6,S,45.811,5.29,1.731099778,0.041,5.072,0.768,0.038,1.501,0,0,-1.094
CONQA1,Connah's Quay,M5,M,248.212,13.89,0.229139344,0.232,122.452,170.162,0.229,81.383,0,0,-5.286
COUA_P,Coupar Angus,T4,T,21.383,7.902,7.003501093,0.038,4.685,7.6,2.213,0.537,0,0,-0.533
